AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;7;Andalucía;África;Egipto;776.0;3789.0;4.9
2019;7;Andalucía;África;Ghana;140.0;1127.0;8.1
2019;7;Andalucía;África;Guinea Ecuatorial;72.0;651.0;9.0
2019;7;Andalucía;África;Guinea-Bissau;49.0;306.0;6.2
2019;7;Andalucía;África;Kenia;98.0;624.0;6.4
2019;7;Andalucía;África;Mali;226.0;1612.0;7.1
2019;7;Andalucía;África;Marruecos;59702.0;285334.0;4.8
2019;7;Andalucía;África;Mauricio;42.0;211.0;5.0
2019;7;Andalucía;África;Mauritania;145.0;874.0;6.0
2019;7;Andalucía;África;Nigeria;404.0;2492.0;6.2
2019;7;Andalucía;África;República Democrática del Congo;33.0;173.0;5.2
2019;7;Andalucía;África;Senegal;225.0;1479.0;6.6
2019;7;Andalucía;África;Sudáfrica;387.0;2575.0;6.7
2019;7;Andalucía;África;Túnez;287.0;1553.0;5.4
2019;7;Región de Murcia;América;Argentina;147.0;1264.0;8.6
2019;7;Región de Murcia;América;Brasil;144.0;1123.0;7.8
2019;7;Región de Murcia;América;Canadá;237.0;972.0;4.1
2019;7;Región de Murcia;América;Chile;42.0;298.0;7.1
2019;7;Región de Murcia;América;Colombia;274.0;2466.0;9.0
2019;7;Región de Murcia;América;Ecuador;118.0;968.0;8.2
2019;7;Región de Murcia;América;Estados Unidos de América;1918.0;11124.0;5.8
2019;7;Región de Murcia;América;México;149.0;1505.0;10.1
2019;7;Región de Murcia;América;Nicaragua;67.0;596.0;8.9
2019;7;Región de Murcia;América;Perú;41.0;316.0;7.7
2019;7;Región de Murcia;América;Venezuela;32.0;304.0;9.5
2019;7;Región de Murcia;Asia;China;721.0;4254.0;5.9
2019;7;Región de Murcia;Asia;Emiratos Árabes Unidos;102.0;612.0;6.0
2019;7;Región de Murcia;Asia;Filipinas;318.0;1177.0;3.7
2019;7;Región de Murcia;Asia;India;207.0;1139.0;5.5
2019;7;Región de Murcia;Asia;Indonesia;57.0;154.0;2.7
2019;7;Región de Murcia;Asia;Israel;38.0;182.0;4.8
2019;7;Región de Murcia;Asia;Japón;145.0;841.0;5.8
2019;7;Región de Murcia;Asia;Qatar;30.0;294.0;9.8
2019;7;Región de Murcia;Asia;Singapur;41.0;246.0;6.0
2019;7;Región de Murcia;Asia;Siria;52.0;338.0;6.5
2019;7;Región de Murcia;Asia;Tailandia;51.0;316.0;6.2
2019;7;Región de Murcia;Europa;Alemania;8153.0;74192.0;9.1
2019;7;Región de Murcia;Europa;Andorra;47.0;320.0;6.8
2019;7;Región de Murcia;Europa;Austria;1870.0;14025.0;7.5
2019;7;Región de Murcia;Europa;Belarús;56.0;409.0;7.3
2019;7;Región de Murcia;Europa;Bulgaria;291.0;2532.0;8.7
2019;7;Región de Murcia;Europa;Bélgica;5709.0;41105.0;7.2
2019;7;Región de Murcia;Europa;Croacia;88.0;774.0;8.8
2019;7;Región de Murcia;Europa;Dinamarca;1197.0;11132.0;9.3
2019;7;Región de Murcia;Europa;Eslovenia;49.0;377.0;7.7
2019;7;Región de Murcia;Europa;Estonia;120.0;876.0;7.3
2019;7;Región de Murcia;Europa;Finlandia;201.0;1729.0;8.6
